,index,idandtype,productname,company,interest_type,highest_rate,deposit_limit,period,redemption_interest,monthly_interest,review_counts,average_rate
0,0,2359DEPOSITFSS,"iTouch
우리예금",woori,단리,1.45,제한없음,12개월 ~ 36개월,입금일 당시 고시한 일반정기예금의 중도해지이율 적용,"
개월별 기본금리
6개월기본 1.2%우대 시 1.4%12개월기본 1.25%우대 시 1.45%
",0,
1,2,2361DEPOSITFSS,위비톡예금,woori,단리,7.0,제한없음,3개월 ~ 12개월,입금일 당시 고시한 일반정기예금의 중도해지이율 적용,"
개월별 기본금리
6개월기본 1.4%우대 시 1.7%12개월기본 1.7%우대 시 2%
",0,
2,5,2364DEPOSITFSS,"Red Monkey
스마트 정기예금",woori,단리,1.4,300만원 ~ 제한없음,12개월,입금일 당시 고시한 일반정기예금의 중도해지이율 적용,"
개월별 기본금리
6개월기본 1%우대 시 1.2%12개월기본 1.2%우대 시 1.4%
",0,
3,6,2365DEPOSITFSS,우리웰리치 주거래예금,woori,단리,1.5,100만원 ~ 제한없음,6개월 ~ 12개월,입금일 당시 고시한 일반정기예금의 중도해지이율 적용,"
개월별 기본금리
6개월기본 1.15%우대 시 1.35%12개월기본 1.3%우대 시 1.5%
",0,
4,8,2367DEPOSITFSS,우리웰리치100예금(회전형),woori,단리,1.45,300만원 ~ 제한없음,12개월 ~ 60개월,입금일 당시 고시한 일반정기예금의 중도해지이율 적용,"
개월별 기본금리
12개월기본 1.25%우대 시 1.45%
",0,
5,10,2369DEPOSITFSS,"우리로모아
정기예금",woori,단리,1.6,"100만원 ~ 2,000만원",6개월 ~ 12개월,입금일 당시 고시한 일반정기예금의 중도해지이율 적용,"
개월별 기본금리
6개월기본 0.95%우대 시 1.25%12개월기본 1.3%우대 시 1.6%
",0,
6,12,2371DEPOSITFSS,홈앤세이브예금,sc,단리,1.3,제한없음,제한없음,,"
개월별 기본금리
12개월기본 1.3%우대 시 1.3%
",0,
7,13,2372DEPOSITFSS,e-그린세이브예금,sc,단리,1.45,제한없음,제한없음,,"
개월별 기본금리
6개월기본 1.15%우대 시 1.15%12개월기본 1.45%우대 시 1.45%
",0,
8,15,2374DEPOSITFSS,퍼스트정기예금,sc,단리,1.0,100만원 ~ 제한없음,12개월 ~ 60개월,"3개월 미만:0.5%
3개월-1년:약정이율의 25%
1년-2년:약정이율의 50%
2년이상:약정이율의 75%
매1년 경과한 잔여월수:약정이율의 25%","
개월별 기본금리
6개월기본 1%우대 시 1%12개월기본 1.1%우대 시 1.1%24개월기본 1.15%우대 시 1.15%36개월기본 1.15%우대 시 1.15%
",0,
9,19,2378DEPOSITFSS,프리스타일예금,citi,단리,1.4,100만원 ~ 제한없음,1개월 ~ 36개월,"1개월 미만:0.1
2개월 미만:0.15
3개월 미만:0.2
3개월 이상:중도해지이율=약정이율*(1-차감율)","
개월별 기본금리
6개월기본 1.2%우대 시 1.2%12개월기본 1.4%우대 시 1.4%24개월기본 1.4%우대 시 1.4%36개월기본 1.4%우대 시 1.4%
",0,
10,27,2386DEPOSITFSS,자유회전예금,citi,단리,1.4,100만원 ~ 제한없음,1개월 ~ 360개월,"1회전기간 경과 전 15일 미만:0.1
1회전기간 경과 전 15일 이상:1.0
회전주기 만료일:회전주기에 해당하는 약정이율
회전주기 만료일 경과 후 최종 회전주기 만료전일까지:회저주기에 해당하는 약정이율
회전주기 만료일 경과 후 최종 회전주기 만료일로부터 중도해지일까지:0.1","
개월별 기본금리
6개월기본 1.2%우대 시 1.2%12개월기본 1.4%우대 시 1.4%24개월기본 1.4%우대 시 1.4%36개월기본 1.4%우대 시 1.4%
",0,
11,35,2394DEPOSITFSS,내손안에 예금,dgb,단리,1.7,"100만원 ~ 5,000만원",1개월 ~ 36개월,"1개월 미만:0.1
1개월 이상:약정이자율20%
3개월 이상:약정이자율30%
6개월 이상:약정이자율40%
1년 이상:약정이자율50%","
개월별 기본금리
6개월기본 1.42%우대 시 1.62%12개월기본 1.46%우대 시 1.66%24개월기본 1.48%우대 시 1.68%36개월기본 1.5%우대 시 1.7%
",0,
12,39,2398DEPOSITFSS,독도예금,dgb,단리,1.77,100만원 ~ 제한없음,12개월 ~ 36개월,"1개월 미만:0.1
1개월 이상:약정이자율20%
3개월 이상:약정이자율30%
6개월 이상:약정이자율40%
1년 이상:약정이자율50%","
개월별 기본금리
12개월기본 1.44%우대 시 1.69%24개월기본 1.48%우대 시 1.73%36개월기본 1.52%우대 시 1.77%
",0,
13,42,2401DEPOSITFSS,DGB주거래우대예금(첫만남고객형),dgb,단리,1.4,300만원 ~ 제한없음,6개월 ~ 36개월,"1개월 미만:0.1
1개월 이상:약정이자율20%
3개월 이상:약정이자율30%
6개월 이상:약정이자율40%
1년 이상:약정이자율50%","
개월별 기본금리
6개월기본 1.12%우대 시 1.32%12개월기본 1.16%우대 시 1.36%24개월기본 1.18%우대 시 1.38%36개월기본 1.2%우대 시 1.4%
",0,
14,46,2405DEPOSITFSS,자유만기회전예금,dgb,단리,1.55,100만원 ~ 제한없음,12개월 ~ 60개월,"최초 1회전 기간 미만 경과
- 1개월 미만:0.1
- 1개월 이상:약정이자율20%
- 3개월 이상:약정이자율30%
- 6개월 이상:약정이자율40%
최초 1회전 기간 이상 경과
- 신규일~매 금리결정일 전날:약정이자율
- 최종 금리결정일~해지 전날:직전회전기간 약정이자율 1/2","
개월별 기본금리
6개월기본 1.46%우대 시 1.51%12개월기본 1.5%우대 시 1.55%
",0,
15,50,2409DEPOSITFSS,e-U(이유)예금,dgb,단리,1.7,"100만원 ~ 10,000만",1개월 ~ 36개월,"1개월 미만:0.1
1개월 이상:약정이자율20%
3개월 이상:약정이자율30%
6개월 이상:약정이자율40%
1년 이상:약정이자율50%","
개월별 기본금리
6개월기본 1.12%우대 시 1.62%12개월기본 1.16%우대 시 1.66%24개월기본 1.18%우대 시 1.68%36개월기본 1.2%우대 시 1.7%
",0,
16,54,2413DEPOSITFSS,메리트정기예금,bnkbs,단리,2.3,500만원 ~ 제한없음,1개월 ~ 12개월,상품별 기준금리*(경과월수/계약월수)*50%,"
개월별 기본금리
6개월기본 0.7%우대 시 2.1%12개월기본 0.9%우대 시 2.3%
",0,
17,56,2415DEPOSITFSS,e-푸른바다정기예금,bnkbs,단리,1.5,100만원 ~ 제한없음,1개월 ~ 60개월,상품별 기준금리*(경과월수/계약월수)*50%,"
개월별 기본금리
6개월기본 1.1%우대 시 1.1%12개월기본 1.3%우대 시 1.3%24개월기본 1.4%우대 시 1.4%36개월기본 1.5%우대 시 1.5%
",0,
18,60,2419DEPOSITFSS,"BIFF
정기예금",bnkbs,단리,1.4,100만원 ~ 제한없음,12개월,가입일 당시 일반정기예금 기본금리 * 경과월수/계약월수(12개월) * 50%,"
개월별 기본금리
12개월기본 1.4%우대 시 1.4%
",0,
19,61,2420DEPOSITFSS,BNKe스마트정기예금,bnkbs,단리,1.3,"10만원 ~ 3,000만원",3개월 ~ 12개월,상품별 기준금리*(경과월수/계약월수)*50%,"
개월별 기본금리
6개월기본 1.1%우대 시 1.1%12개월기본 1.3%우대 시 1.3%
",0,
20,63,2422DEPOSITFSS,달콤한인생 정기예금,bnkbs,단리,1.45,제한없음,제한없음,,"
개월별 기본금리
12개월기본 1.25%우대 시 1.25%24개월기본 1.35%우대 시 1.35%36개월기본 1.45%우대 시 1.45%
",0,
21,66,2426DEPOSITFSS,"굿-초이스
정기예금",bnkbs,단리,1.2,제한없음,제한없음,,"
개월별 기본금리
12개월기본 1.2%우대 시 1.2%
",0,
22,67,2427DEPOSITFSS,"사랑방
정기예금",bnkbs,단리,1.45,제한없음,제한없음,,"
개월별 기본금리
12개월기본 1.45%우대 시 1.45%
",0,
